Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_113,VPWR,li1,58.4200,62.5600,1.799991
FILLER_19_103,VPWR,li1,53.1300,62.5600,1.799991
FILLER_19_88,VPWR,li1,46.2300,62.5600,1.799992
FILLER_19_69,VPWR,li1,38.1800,62.5600,1.799994
FILLER_19_57,VPWR,li1,34.5000,62.5600,1.799994
FILLER_19_53,VPWR,li1,30.5900,62.5600,1.799995
FILLER_19_41,VPWR,li1,27.1400,62.5600,1.799996
FILLER_19_29,VPWR,li1,21.6200,62.5600,1.799997
FILLER_19_27,VPWR,li1,18.1700,62.5600,1.799997
FILLER_19_15,VPWR,li1,15.1800,62.5600,1.799997
FILLER_19_3,VPWR,li1,9.6600,62.5600,1.799997
FILLER_18_119,VPWR,li1,60.4900,62.5600,1.799991
FILLER_18_94,VPWR,li1,49.2200,62.5600,1.799992
FILLER_18_82,VPWR,li1,43.7000,62.5600,1.799993
FILLER_18_69,VPWR,li1,38.1800,62.5600,1.799994
FILLER_18_57,VPWR,li1,34.5000,62.5600,1.799994
FILLER_18_33,VPWR,li1,20.9300,62.5600,1.799997
FILLER_18_29,VPWR,li1,19.7800,62.5600,1.799997
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799997
FILLER_18_15,VPWR,li1,15.1800,62.5600,1.799997
FILLER_18_3,VPWR,li1,9.6600,62.5600,1.799997
FILLER_17_119,VPWR,li1,60.4900,57.1200,1.799985
FILLER_17_68,VPWR,li1,37.0300,57.1200,1.799989
FILLER_17_60,VPWR,li1,34.9600,57.1200,1.799990
FILLER_17_15,VPWR,li1,14.2600,57.1200,1.799995
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799995
FILLER_16_116,VPWR,li1,59.1100,57.1200,1.799985
FILLER_16_61,VPWR,li1,34.2700,57.1200,1.799990
FILLER_16_53,VPWR,li1,31.7400,57.1200,1.799992
FILLER_16_29,VPWR,li1,19.7800,57.1200,1.799995
FILLER_16_26,VPWR,li1,17.9400,57.1200,1.799995
FILLER_16_18,VPWR,li1,15.6400,57.1200,1.799995
FILLER_16_6,VPWR,li1,11.0400,57.1200,1.799995
FILLER_15_102,VPWR,li1,52.6700,51.6800,1.799956
FILLER_15_84,VPWR,li1,44.3900,51.6800,1.799960
FILLER_15_76,VPWR,li1,40.7100,51.6800,1.799964
FILLER_15_72,VPWR,li1,39.5600,51.6800,1.799964
FILLER_15_60,VPWR,li1,35.8800,51.6800,1.799966
FILLER_15_17,VPWR,li1,13.8000,51.6800,1.799979
FILLER_15_11,VPWR,li1,11.2700,51.6800,1.799979
FILLER_15_3,VPWR,li1,8.7400,51.6800,1.799979
FILLER_14_71,VPWR,li1,39.5600,51.6800,1.799964
FILLER_14_25,VPWR,li1,17.7100,51.6800,1.799980
FILLER_14_3,VPWR,li1,7.3600,51.6800,1.799979
FILLER_13_113,VPWR,li1,58.4200,46.2400,1.799991
FILLER_13_90,VPWR,li1,47.3800,46.2400,1.799992
FILLER_13_69,VPWR,li1,37.4900,46.2400,1.799994
FILLER_13_65,VPWR,li1,36.3400,46.2400,1.799994
FILLER_13_19,VPWR,li1,15.1800,46.2400,1.799997
FILLER_13_3,VPWR,li1,9.6600,46.2400,1.799997
FILLER_12_118,VPWR,li1,60.2600,46.2400,1.799991
FILLER_12_97,VPWR,li1,50.3700,46.2400,1.799991
FILLER_12_85,VPWR,li1,47.3800,46.2400,1.799992
FILLER_12_80,VPWR,li1,42.5500,46.2400,1.799992
FILLER_12_76,VPWR,li1,40.7100,46.2400,1.799993
FILLER_12_72,VPWR,li1,39.5600,46.2400,1.799993
FILLER_12_60,VPWR,li1,35.8800,46.2400,1.799994
FILLER_12_50,VPWR,li1,28.9800,46.2400,1.799996
FILLER_12_45,VPWR,li1,26.6800,46.2400,1.799996
FILLER_12_39,VPWR,li1,23.6900,46.2400,1.799997
FILLER_12_33,VPWR,li1,22.0800,46.2400,1.799997
FILLER_12_25,VPWR,li1,17.7100,46.2400,1.799997
FILLER_12_15,VPWR,li1,13.1100,46.2400,1.799997
FILLER_12_3,VPWR,li1,9.6600,46.2400,1.799997
FILLER_11_116,VPWR,li1,59.1100,40.8000,1.799970
FILLER_11_87,VPWR,li1,46.0000,40.8000,1.799970
FILLER_11_65,VPWR,li1,35.8800,40.8000,1.799973
FILLER_11_52,VPWR,li1,30.3600,40.8000,1.799975
FILLER_11_36,VPWR,li1,22.3100,40.8000,1.799986
FILLER_11_3,VPWR,li1,7.3600,40.8000,1.799984
FILLER_10_102,VPWR,li1,52.6700,40.8000,1.799970
FILLER_10_85,VPWR,li1,45.0800,40.8000,1.799971
FILLER_10_82,VPWR,li1,43.7000,40.8000,1.799971
FILLER_10_41,VPWR,li1,24.6100,40.8000,1.799982
FILLER_10_37,VPWR,li1,23.4600,40.8000,1.799982
FILLER_9_113,VPWR,li1,57.7300,35.3600,1.799989
FILLER_9_93,VPWR,li1,48.7600,35.3600,1.799990
FILLER_9_69,VPWR,li1,37.4900,35.3600,1.799992
FILLER_9_61,VPWR,li1,35.4200,35.3600,1.799992
FILLER_9_57,VPWR,li1,31.9700,35.3600,1.799992
FILLER_9_35,VPWR,li1,21.8500,35.3600,1.799995
FILLER_9_29,VPWR,li1,19.0900,35.3600,1.799995
FILLER_9_3,VPWR,li1,7.1300,35.3600,1.799994
FILLER_8_119,VPWR,li1,60.4900,35.3600,1.799989
FILLER_8_98,VPWR,li1,50.8300,35.3600,1.799990
FILLER_8_90,VPWR,li1,47.1500,35.3600,1.799990
FILLER_8_70,VPWR,li1,39.5600,35.3600,1.799991
FILLER_8_58,VPWR,li1,34.9600,35.3600,1.799992
FILLER_8_29,VPWR,li1,19.0900,35.3600,1.799995
FILLER_8_24,VPWR,li1,17.4800,35.3600,1.799995
FILLER_8_3,VPWR,li1,8.7400,35.3600,1.799994
FILLER_7_119,VPWR,li1,60.4900,29.9200,1.799989
FILLER_7_113,VPWR,li1,58.8800,29.9200,1.799989
FILLER_7_105,VPWR,li1,54.7400,29.9200,1.799989
FILLER_7_93,VPWR,li1,51.0600,29.9200,1.799989
FILLER_7_71,VPWR,li1,38.8700,29.9200,1.799989
FILLER_7_63,VPWR,li1,36.3400,29.9200,1.799990
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799990
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.799990
FILLER_7_41,VPWR,li1,24.8400,29.9200,1.799991
FILLER_7_32,VPWR,li1,20.4700,29.9200,1.799991
FILLER_7_28,VPWR,li1,19.3200,29.9200,1.799991
FILLER_7_23,VPWR,li1,16.3300,29.9200,1.799991
FILLER_7_15,VPWR,li1,14.2600,29.9200,1.799991
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.799991
FILLER_6_113,VPWR,li1,58.1900,29.9200,1.799989
FILLER_6_101,VPWR,li1,54.7400,29.9200,1.799989
FILLER_6_91,VPWR,li1,47.8400,29.9200,1.799989
FILLER_6_63,VPWR,li1,34.7300,29.9200,1.799990
FILLER_6_59,VPWR,li1,33.5800,29.9200,1.799990
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799991
FILLER_6_3,VPWR,li1,8.2800,29.9200,1.799991
FILLER_5_119,VPWR,li1,60.4900,24.4800,1.799984
FILLER_5_111,VPWR,li1,56.8100,24.4800,1.799984
FILLER_4_93,VPWR,li1,49.6800,24.4800,1.799985
FILLER_4_65,VPWR,li1,36.1100,24.4800,1.799987
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799988
FILLER_4_26,VPWR,li1,17.9400,24.4800,1.799992
FILLER_4_3,VPWR,li1,7.5900,24.4800,1.799991
FILLER_3_116,VPWR,li1,59.8000,19.0400,1.799964
FILLER_3_109,VPWR,li1,56.3500,19.0400,1.799964
