Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_119,VGND,li1,60.4900,65.2800,0.000000
FILLER_19_113,VGND,li1,58.8800,65.2800,0.000000
FILLER_19_109,VGND,li1,56.3500,65.2800,0.000000
FILLER_19_97,VGND,li1,52.9000,65.2800,0.000000
FILLER_19_85,VGND,li1,47.3800,65.2800,0.000000
FILLER_19_82,VGND,li1,43.7000,65.2800,0.000000
FILLER_19_74,VGND,li1,41.4000,65.2800,0.000000
FILLER_19_65,VGND,li1,35.8800,65.2800,0.000000
FILLER_19_57,VGND,li1,33.5800,65.2800,0.000000
FILLER_19_48,VGND,li1,29.4400,65.2800,0.000000
FILLER_19_37,VGND,li1,23.2300,65.2800,0.000000
FILLER_19_29,VGND,li1,20.7000,65.2800,0.000000
FILLER_19_27,VGND,li1,18.1700,65.2800,0.000000
FILLER_19_23,VGND,li1,17.0200,65.2800,0.000000
FILLER_19_17,VGND,li1,14.0300,65.2800,0.000000
FILLER_19_9,VGND,li1,11.5000,65.2800,0.000000
FILLER_18_115,VGND,li1,58.6500,59.8400,0.000008
FILLER_18_109,VGND,li1,57.0400,59.8400,0.000008
FILLER_18_97,VGND,li1,52.9000,59.8400,0.000008
FILLER_18_85,VGND,li1,47.3800,59.8400,0.000008
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000008
FILLER_18_70,VGND,li1,38.1800,59.8400,0.000007
FILLER_18_39,VGND,li1,24.1500,59.8400,0.000005
FILLER_18_29,VGND,li1,19.0900,59.8400,0.000006
FILLER_18_10,VGND,li1,10.3500,59.8400,0.000007
FILLER_18_6,VGND,li1,9.2000,59.8400,0.000007
FILLER_17_119,VGND,li1,60.4900,59.8400,0.000008
FILLER_17_113,VGND,li1,58.8800,59.8400,0.000008
FILLER_17_106,VGND,li1,55.6600,59.8400,0.000008
FILLER_17_94,VGND,li1,51.5200,59.8400,0.000008
FILLER_17_57,VGND,li1,31.9700,59.8400,0.000006
FILLER_17_49,VGND,li1,28.9800,59.8400,0.000006
FILLER_16_117,VGND,li1,60.0300,54.4000,0.000004
FILLER_16_109,VGND,li1,57.5000,54.4000,0.000004
FILLER_16_97,VGND,li1,52.9000,54.4000,0.000004
FILLER_16_85,VGND,li1,47.3800,54.4000,0.000004
FILLER_16_81,VGND,li1,43.4700,54.4000,0.000004
FILLER_16_57,VGND,li1,31.9700,54.4000,0.000004
FILLER_16_44,VGND,li1,26.6800,54.4000,0.000003
FILLER_16_26,VGND,li1,17.9400,54.4000,0.000004
FILLER_15_119,VGND,li1,60.4900,54.4000,0.000004
FILLER_15_113,VGND,li1,58.8800,54.4000,0.000004
FILLER_15_111,VGND,li1,56.8100,54.4000,0.000004
FILLER_15_99,VGND,li1,53.8200,54.4000,0.000004
FILLER_15_87,VGND,li1,46.4600,54.4000,0.000004
FILLER_15_75,VGND,li1,42.7800,54.4000,0.000004
FILLER_15_62,VGND,li1,34.2700,54.4000,0.000004
FILLER_15_50,VGND,li1,28.9800,54.4000,0.000003
FILLER_15_38,VGND,li1,25.7600,54.4000,0.000003
FILLER_14_119,VGND,li1,60.4900,48.9600,0.000036
FILLER_14_115,VGND,li1,59.3400,48.9600,0.000036
FILLER_14_85,VGND,li1,45.0800,48.9600,0.000035
FILLER_14_63,VGND,li1,34.7300,48.9600,0.000027
FILLER_14_49,VGND,li1,28.7500,48.9600,0.000023
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000023
FILLER_14_11,VGND,li1,10.8100,48.9600,0.000024
FILLER_14_3,VGND,li1,8.7400,48.9600,0.000024
FILLER_13_119,VGND,li1,60.4900,48.9600,0.000036
FILLER_13_113,VGND,li1,58.8800,48.9600,0.000036
FILLER_13_111,VGND,li1,56.8100,48.9600,0.000036
FILLER_13_105,VGND,li1,55.2000,48.9600,0.000036
FILLER_13_63,VGND,li1,35.1900,48.9600,0.000029
FILLER_13_38,VGND,li1,23.2300,48.9600,0.000022
FILLER_13_29,VGND,li1,19.3200,48.9600,0.000023
FILLER_13_6,VGND,li1,8.9700,48.9600,0.000024
FILLER_12_118,VGND,li1,60.2600,43.5200,0.000009
FILLER_12_106,VGND,li1,57.0400,43.5200,0.000009
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000008
FILLER_12_50,VGND,li1,28.7500,43.5200,0.000005
FILLER_12_46,VGND,li1,27.6000,43.5200,0.000005
FILLER_12_29,VGND,li1,19.7800,43.5200,0.000005
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000006
FILLER_12_23,VGND,li1,17.0200,43.5200,0.000006
FILLER_11_119,VGND,li1,60.4900,43.5200,0.000009
