Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,230
design__instance__area,1956.88
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0000521242109243758
power__switching__total,0.000012923296708322596
power__leakage__total,2.462522186164051E-9
power__total,0.00006504996417788789
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25410593792809505
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25394437271786713
timing__hold__ws__corner:nom_tt_025C_1v80,0.32773079622199974
timing__setup__ws__corner:nom_tt_025C_1v80,38.72870134211534
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327731
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,47.666122
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2555244144156247
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25537037096660126
timing__hold__ws__corner:nom_ss_100C_1v60,0.8851060135342852
timing__setup__ws__corner:nom_ss_100C_1v60,37.7663067064467
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.885106
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,44.980659
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2532025771829844
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25303607148015717
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11828041658677686
timing__setup__ws__corner:nom_ff_n40C_1v95,39.082910458623154
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118280
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,48.512257
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2528454461814378
clock__skew__worst_setup,0.25273628349945415
timing__hold__ws,0.11539530768666263
timing__setup__ws,37.7546999905298
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115395
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,44.960361
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 67.77 78.49
design__core__bbox,5.52 10.88 62.1 65.28
design__io,15
design__die__area,5319.27
design__core__area,3077.95
design__instance__count__stdcell,230
design__instance__area__stdcell,1956.88
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.635772
design__instance__utilization__stdcell,0.635772
design__instance__count__class:inverter,39
design__instance__count__class:sequential_cell,31
design__instance__count__class:multi_input_combinational_cell,71
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,210
design__instance__count__class:tap_cell,44
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,2505.09
design__violations,0
design__instance__count__class:timing_repair_buffer,37
design__instance__count__class:clock_buffer,7
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,19
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,194
route__net__special,2
route__drc_errors__iter:1,61
route__wirelength__iter:1,2786
route__drc_errors__iter:2,3
route__wirelength__iter:2,2742
route__drc_errors__iter:3,5
route__wirelength__iter:3,2725
route__drc_errors__iter:4,1
route__wirelength__iter:4,2724
route__drc_errors__iter:5,0
route__wirelength__iter:5,2720
route__drc_errors,0
route__wirelength,2720
route__vias,1094
route__vias__singlecut,1094
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,118.8
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2536337600623679
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25352795580512877
timing__hold__ws__corner:min_tt_025C_1v80,0.3234813619639135
timing__setup__ws__corner:min_tt_025C_1v80,38.73420094304567
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.323481
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
